Demand;Solar
0,379980184;0
0,42313021;0
0,53556356;0
0,862801084;0
0,255387138;0
0,155252437;0
0,133648506;0,012
0,009487064;0,186
1,059717241;0,433
0,30436807;0,602
0,670037815;0,705
0,013477099;0,754
0,072907627;0,749
2,437217329;0,694
0,946103167;0,577
0,948938506;0,397
0,469260637;0,179
2,728115081;0,008
3,740723564;0
3,054231955;0
1,751614759;0
1,13520857;0
0,808795855;0
0,774946843;0
0,763812933;0
0,791761918;0
0,985370847;0
2,118913583;0
0,90707748;0
1,368036972;0
1,809433697;0,013
0,628225897;0,183
3,078955606;0,389
0,903865615;0,6
1,246405823;0,693
1,421044108;0,732
0,118884373;0,727
2,256077332;0,676
0,277934291;0,576
0,149728706;0,418
1,97008684;0,2
0,045468584;0,011
4,881598337;0
0,179985159;0
1,163768008;0
1,618565922;0
1,188045073;0
0,363010175;0
0,09662122;0
0,915382739;0
1,135681655;0
3,074183971;0
0,94585989;0
1,381890511;0
0,042391692;0,013
0,079955139;0,179
2,993824349;0,407
1,511650629;0,601
1,798591552;0,699
1,493078602;0,742
1,34944642;0,732
1,414186837;0,666
1,434848404;0,568
1,513704675;0,383
1,710063077;0,166
0,05258173;0,008
0,197301402;0
0,150766789;0
0,149250554;0
0,051719927;0
2,278799375;0
1,530785269;0
0,843376781;0
0,868289093;0
0,089905201;0
0,931055726;0
0,087665836;0
0,212722093;0
0,163851561;0,011
0,095090019;0,17
2,852865971;0,389
1,543225576;0,599
1,743315689;0,696
0,088164706;0,736
1,464939582;0,728
2,298644828;0,672
0,182046392;0,568
1,797650641;0,413
1,771807898;0,209
0,294967768;0,011
0,068137931;0
0,004674939;0
0,159354358;0
0,150481878;0
2,783588258;0
0,948660662;0
0,761160806;0
0,794705271;0
0,891844123;0
1,841624943;0
0,001060207;0
0,000174534;0
2,10819441;0,014
0,05645504;0,194
2,251379356;0,436
0,093239854;0,6
1,654023908;0,686
0,110779686;0,73
0,063587158;0,709
1,331849152;0,66
0,729082345;0,547
0,537370513;0,363
1,605365339;0,174
0,353466572;0,008
0,185396187;0
2,311173067;0
0,027690943;0
0,181866541;0
2,44325301;0
1,791392078;0
0,113102064;0
0,24877712;0
0,297999451;0
0,725763917;0
0,534849033;0
0,321066643;0
2,845627843;0,014
0,137360627;0,186
0,194717574;0,444
0,4277645;0,597
0,320185998;0,693
0,246339772;0,736
0,109241746;0,729
0,705293983;0,673
0,52854714;0,563
0,162925712;0,414
0,160617896;0,199
0,460832368;0,009
0,116052245;0
0,044235348;0
2,055616387;0
2,030461665;0
2,754731105;0
0,234395201;0
0,835215244;0
0,964011341;0
1,9520189;0
1,548682067;0
1,217418275;0
2,13841531;0
0,151702879;0,013
3,612640409;0,19
2,599144806;0,422
2,020068013;0,599
1,729004387;0,703
1,312465998;0,753
2,824679407;0,744
0,955800649;0,686
1,280258629;0,575
1,636264672;0,404
1,638572488;0,197
3,360702556;0,01
2,389546747;0
3,286486097;0
0,156591794;0
0,182590304;0
0,187340764;0
1,56718371;0
0,48595083;0
0,541134736;0
1,142810176;0
0,611704688;0
0,15184737;0
0,121716197;0
0,100790275;0,018
0,032925709;0,224
0,444943079;0,458
0,30436807;0,607
0,637551981;0,694
0,010819794;0,739
0,211851242;0,73
0,544890287;0,669
0,946103167;0,581
0,615371141;0,431
0,259576274;0,222
3,203009377;0,013
1,884703134;0
2,278927898;0
1,053378439;0
3,749095831;0
0,663993863;0
0,516313233;0
0,976828647;0
1,012572175;0
1,887751172;0
0,969199972;0
0,850192794;0
1,552289996;0
1,809433697;0,012
1,580902545;0,22
0,910722231;0,444
0,903865615;0,544
1,951663172;0,594
1,421044108;0,663
0,223759358;0,66
0,995295658;0,677
0,325531232;0,574
0,17553077;0,401
2,893913497;0,156
0,04411948;0,01
2,258102952;0
0,276499538;0
