type,Demand,Solar,Wind Speed,Wind,Wind,Wind,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand
number,1,1,30m,1,2,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.06673542098,0.0,2.873,0.008730000000000002,0.037460000000000014,0.4466600000000001,0.1214584662,0.22105440840000004,0.4919079264,0.5352684663999999,0.6169092461,1.031126151,1.1848216710000001,1.359312643,1.8487228469999997,1.330639863,1.509967502,1.283957304,1.656213719,1.958137003,1.9890007699999999,0.5449086202000001,0.7954706597000001,0.6368326168,1.06500269
2,0.07431380340000002,0.0,2.9589999999999996,0.009590000000000001,0.03918,0.48278,0.1352511222,0.24615704240000003,0.5477683125,0.5960528157000001,0.6869646097,1.1482194159999999,1.319368387,1.5136743119999998,2.0586612649999996,1.481745492,1.68143733,1.429761726,1.844291066,2.180500342,2.2148689559999997,0.6067876920999999,0.8858032114,0.7091504509000001,1.185942928
3,0.07354871608,0.0,3.06,0.015400000000000006,0.05230000000000001,0.551,0.13385866329999999,0.24362276719999998,0.5421288407000001,0.5899162376,0.6798920621,1.1363980839999999,1.305785016,1.498090491,2.0374666070000003,1.466490389,1.6641263279999998,1.4150418150000001,1.825303426,2.1580513079999997,2.192066083,0.6005405946000001,0.8766835489,0.7018494921,1.173733219
4,0.12061580170000001,0.0,3.109,0.01981,0.062345000000000005,0.59265,0.47248783669999994,0.22254918650000002,0.4427518495,0.5715908857,0.5418544263999999,1.323090909,1.034487424,1.1865807890000002,1.6727525109999999,1.1593047210000003,1.315594354,1.1186468960000002,1.442953001,1.705993032,1.732888975,1.584486367,0.7024967614,1.3304254210000002,1.418795113
5,0.14217094709999997,0.0,3.178,0.026019999999999998,0.07648999999999997,0.6513,0.09472021748000001,0.20088383939999999,0.4463522188,0.40936978189999995,0.3014749147,0.35733344980000004,0.35171748070000003,0.38330700360000003,0.4229758885,0.3695953057,0.3481660724,0.28341304660000005,0.3669265697,0.43665075240000006,0.42822147429999996,1.01506959,1.296323811,1.416075578,1.8545118109999998
6,0.07785814695000001,0.0,3.3480000000000003,0.04131999999999999,0.11133999999999998,0.7958,0.05550268309,0.03541812522,0.15062496669999997,0.21920429500000002,0.13345764609999997,0.2389238247,0.19564189369999999,0.25246477209999996,0.29796465489999996,0.2064396952,0.2342611547,0.19919721469999999,0.25695025730000004,0.30379159469999995,0.30857989750000003,0.3939132795,0.42492608239999996,0.4551379398,0.24775280940000002
7,0.029936966859999997,0.008,3.4339999999999997,0.04906000000000001,0.12897000000000006,0.8689000000000001,0.06700373003999999,0.054166587669999995,0.0692071882,0.08566375656,0.08493003483,0.1276222202,0.1318305804,0.1576595265,0.2049280089,0.14735754680000002,0.3139850722,0.28118672559999996,0.1834122044,0.21684775359999997,0.38706529139999996,0.2521531845,0.5226096890999999,0.3389275787,0.1863930071
8,0.0075962811,0.24,3.112,0.02008000000000001,0.06296000000000003,0.5952000000000001,0.004474577259,0.01491832838,0.03435124218,0.02024430062,0.01831078772,0.04253647017,0.03340092705,0.039960095189999996,0.05337939067,0.03739087372,0.04242996602,0.03607909754,0.04653947302,0.05502349316,0.055890762530000006,0.06398198181,0.132608294,0.07324983245,0.0299264904
9,0.6021366482000001,0.406,3.455,0.05095,0.13327500000000006,0.88675,0.9275631250999999,0.7469308214,1.195539514,1.009804997,1.107319966,0.9672655828,0.6841902126,0.5197739853999999,0.4500444673000001,0.7098369768999999,0.3825821767,0.2502278546,0.3307272645,0.4078395494,0.32336194970000004,6.064316497,7.437743801000001,9.746741794,9.954395767
10,0.01525408558,0.5730000000000001,4.311,0.16219999999999998,0.308755,1.8009499999999998,0.0,0.0,0.09318313157,0.0,0.0,0.01211404216,0.0018537270480000001,0.0012720275,0.00047104418200000003,0.0,0.0,0.0,0.0,0.0,0.0,1.1392742539999998,2.7437972579999994,0.0,0.0
11,0.02553744716,0.721,4.053999999999999,0.11080000000000004,0.2560700000000001,1.4283000000000003,0.0,0.0,0.1560014388,0.0,0.0,0.02028058056,0.0031033952360000005,0.002129549811,0.000788593053,0.0,0.0,0.0,0.0,0.0,0.0,1.9073025329999997,4.593495763,0.0,0.0
12,0.000659505577,0.778,3.582,0.062379999999999984,0.15930999999999998,0.9946999999999998,0.0011959069229999998,0.007711223016,0.00402874329,0.0,0.0,0.00052374679,8.0145304e-05,7.9841807e-05,0.0022159854299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.059728080159999995,0.1398178699,0.02439637037,0.0
